 ,Area,Mean,Min,Max,X,Y
197,0,12,12,12,386.559,754.338
198,0,71,71,71,399.079,712.083
199,0,96,96,96,427.250,710.518
200,0,64,64,64,345.869,688.608
201,0,72,72,72,369.344,712.083
202,0,23,23,23,358.389,726.168
203,0,59,59,59,358.389,749.643
204,0,53,53,53,306.743,846.674
205,0,73,73,73,356.824,852.934
206,0,55,55,55,413.165,920.230
207,0,61,61,61,410.035,903.015
208,0,68,68,68,295.788,935.880
209,0,49,49,49,298.918,970.311
210,0,86,86,86,258.228,929.620
211,0,39,39,39,128.331,879.540
212,0,19,19,19,219.102,733.993
213,0,58,58,58,280.138,754.338
214,0,42,42,42,317.698,732.428
215,0,55,55,55,303.613,715.213
216,0,66,66,66,248.838,712.083
217,0,27,27,27,140.852,821.634
218,0,6,6,6,118.941,821.634
219,0,53,53,53,114.246,987.526
220,0,60,60,60,533.671,1012.566
221,0,42,42,42,801.289,665.132
222,0,56,56,56,777.814,647.917
223,0,76,76,76,449.160,527.411
224,0,37,37,37,420.990,442.900
